Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,B2P Fiscal Year,latitude,longitude,Individuals Directly Served,Population Estimate 2000m
Uganda - MUNKUNYU 11 KEMANGO - 1026039,Kasese,MUNKUNYU 11 KEMANGO,1026039,Identified,Identified in Needs Assessment,2023,0.020771,29.850035,0,
Uganda - Kinyabwamba Lower - Sinai - 1025987,Kasese,Kinyabwamba Lower - Sinai,1025987,Identified,Identified in Needs Assessment,2021,0.318519,30.151438,0,
Uganda - Kasojo-Kinyamwenge - 1026000,Kasese,Kasojo-Kinyamwenge,1026000,Identified,Identified in Needs Assessment,2021,0.292831,30.171791,0,
Uganda - Ibunda-Kinyangwa - 1026001,Kasese,Ibunda-Kinyangwa,1026001,Identified,Identified in Needs Assessment,2021,0.401466,30.095778,0,
Uganda - KISEBERE PRIMARY SCHOOL - 1026020,Kasese,KISEBERE PRIMARY SCHOOL,1026020,Identified,Identified in Needs Assessment,2023,0.118978,29.755668,0,
Uganda - MUHINDI KIGHUTHU - 1026023,Kasese,MUHINDI KIGHUTHU,1026023,Identified,Identified in Needs Assessment,2023,0.049084,29.813406,0,
Uganda - DOLF - 1026027,Kasese,DOLF,1026027,Identified,Identified in Needs Assessment,2023,0.076043,29.89759,0,
Uganda - KYAMPARA   KAMUKUMBI - 1026029,Kasese,KYAMPARA   KAMUKUMBI,1026029,Identified,Identified in Needs Assessment,2023,0.009269,29.748408,0,
Uganda - MURUGA - 1026037,Kasese,MURUGA,1026037,Identified,Identified in Needs Assessment,2023,0.08068,29.90038,0,
Uganda - NYAKATSE - 1026041,Kasese,NYAKATSE,1026041,Identified,Identified in Needs Assessment,2023,0.105788,29.897304,0,
Uganda - BURUMBIKA  TO IHANURA - 1026012,Kasese,BURUMBIKA  TO IHANURA,1026012,Identified,Identified in Needs Assessment,2023,0.114932,29.914496,0,
Uganda - KANYAMPARA 1 - 1026026,Kasese,KANYAMPARA 1,1026026,Identified,Identified in Needs Assessment,2023,0.042318,29.858419,0,
Uganda - KAGANDO- KARUJUMBA - 1026038,Kasese,KAGANDO- KARUJUMBA,1026038,Identified,Identified in Needs Assessment,2023,0.064652,29.911983,0,
Uganda - BUYAGHA - 1026013,Kasese,BUYAGHA,1026013,Identified,Identified in Needs Assessment,2023,0.110779,29.915023,0,
Uganda - KIRIMWIHANGO - 1026018,Kasese,KIRIMWIHANGO,1026018,Identified,Identified in Needs Assessment,2023,0.018187,29.750094,0,
Uganda - MADEBE - 1026031,Kasese,MADEBE,1026031,Identified,Identified in Needs Assessment,2023,0.031779,29.855496,0,
Uganda - KIGHUTHU - 1026030,Kasese,KIGHUTHU,1026030,Identified,Identified in Needs Assessment,2023,0.048897,29.813093,0,
Uganda - PADDY KABAGAMBI - 1026021,Kasese,PADDY KABAGAMBI,1026021,Identified,Identified in Needs Assessment,2023,0.088755,29.746801,0,
Uganda - KYAMINYAWANDI- KYESERO - 1026022,Kasese,KYAMINYAWANDI- KYESERO,1026022,Identified,Identified in Needs Assessment,2023,-0.000017,29.813577,0,
Uganda - KATHIKALI - 1026024,Kasese,KATHIKALI,1026024,Identified,Identified in Needs Assessment,2023,-0.030712,29.803757,0,
Uganda - KYABISORO KITSUTSU - 1026025,Kasese,KYABISORO KITSUTSU,1026025,Identified,Identified in Needs Assessment,2023,0.015589,29.813419,0,
Uganda - NKUNYU 11 KEMANGO - 1026033,Kasese,NKUNYU 11 KEMANGO,1026033,Identified,Identified in Needs Assessment,2023,0.01971,29.846355,0,
Uganda - Katindo-Rwenzori - 1025983,Kasese,Katindo-Rwenzori,1025983,Identified,Identified in Needs Assessment,2021,0.327778,30.08444,0,
Uganda - Mirimbo-Kisamba II - 1025984,Kasese,Mirimbo-Kisamba II,1025984,Identified,Identified in Needs Assessment,2021,0.313134,30.055958,0,
Uganda - Butebuya-Kagando - 1025992,Kasese,Butebuya-Kagando,1025992,Identified,Identified in Needs Assessment,2021,0.350077,30.150403,0,
Uganda - Kasenyi - 1026004,Kasese,Kasenyi,1026004,Identified,Identified in Needs Assessment,2021,0.395094,30.126927,0,
Uganda - Katooke 1 - Kinyangoye - 1025985,Kasese,Katooke 1 - Kinyangoye,1025985,Identified,Identified in Needs Assessment,2021,0.257728,30.076722,0,
Uganda - Kikoka-Rwesande - 1026007,Kasese,Kikoka-Rwesande,1026007,Identified,Identified in Needs Assessment,2021,0.387763,30.148532,0,
Uganda - KANYAMPARA  DOING - 1026036,Kasese,KANYAMPARA  DOING,1026036,Identified,Identified in Needs Assessment,2023,0.041356,29.85145,0,
Uganda - COMPASSION - 1026042,Kasese,COMPASSION,1026042,Identified,Identified in Needs Assessment,2023,0.065598,29.871038,0,
Uganda - KAMBALA - 1026043,Kasese,KAMBALA,1026043,Identified,Identified in Needs Assessment,2023,0.023428,29.848451,0,
Uganda - KARAMBI  DEN - 1026034,Kasese,KARAMBI  DEN,1026034,Identified,Identified in Needs Assessment,2023,0.028409,29.857984,0,
Uganda - Kaghando-Butabuya - 1025998,Kasese,Kaghando-Butabuya,1025998,Identified,Identified in Needs Assessment,2021,0.348409,30.149782,0,
Uganda - MUROHO - 1026019,Kasese,MUROHO,1026019,Identified,Identified in Needs Assessment,2023,0.095858,29.760961,0,
Uganda - BWENGO  KATHOLHU - 1026028,Kasese,BWENGO  KATHOLHU,1026028,Rejected,Technical,2023,-0.019547,29.772325,0,
Uganda - KITSUTSU  - NYAKASOJO - 1026032,Kasese,KITSUTSU  - NYAKASOJO,1026032,Identified,Identified in Needs Assessment,2023,0.022374,29.81342,0,
Uganda - KEMANGO  KACUNGIRO - 1026035,Kasese,KEMANGO  KACUNGIRO,1026035,Identified,Identified in Needs Assessment,2023,0.021101,29.857893,0,
Uganda - NYABIRONGO 1 - 1026040,Kasese,NYABIRONGO 1,1026040,Identified,Identified in Needs Assessment,2023,0.070728,29.87478,0,
Uganda - Nyakabale-Gatyanga - 1025986,Kasese,Nyakabale-Gatyanga,1025986,Identified,Identified in Needs Assessment,2021,0.379175,30.198456,0,
Uganda - Kyarugomoka-Izinga - 1025993,Kasese,Kyarugomoka-Izinga,1025993,Identified,Identified in Needs Assessment,2021,0.31149,30.104902,0,
Uganda - Kizenga(kanungu)-kitare(rubanda) - 1039080,Kanungu,Kizenga(kanungu)-kitare(rubanda),1039080,Identified,Identified in Needs Assessment,2023,-1.009582,29.785871,1650,
Uganda - Katwa cell - 1039095,Kanungu,Katwa cell,1039095,Identified,Identified in Needs Assessment,2023,-0.876436,29.743232,2510,
Uganda - Kisege-kasozi - 1039090,Ntoroko,Kisege-kasozi,1039090,Identified,Identified in Needs Assessment,2023,0.924188,30.249651,940,
Uganda - BUSINGO - 1036892,Kasese,BUSINGO,1036892,Identified,Identified in Needs Assessment,2023,0.150698,29.926481,0,
Uganda - Tabagon - 1017617,Kween,Tabagon,1017617,Complete,In Service,2020,1.421969,34.546568,1245,
- Kijuura - 1037609,Buliisa,Kijuura,1037609,Identified,,2021,1.748107,31.446271,,
Uganda - Kyamukwere - 1037608,Hoima,Kyamukwere,1037608,Identified,,2021,,,,
Uganda - Nyakalengijo-Bikone - 1014459,Kasese,Nyakalengijo-Bikone,1014459,Identified,Identified in Needs Assessment,2019,0.343699,30.039744,4000,
Uganda - Bundinamandi - 1013999,Bundibugyo,Bundinamandi,1013999,Identified,Identified in Needs Assessment,2019,0.671205,29.963053,1760,
Uganda - Karujumba re assessment - 1024494,Kasese,Karujumba re assessment,1024494,Identified,Identified in Needs Assessment,2021,,,0,
Uganda - Aryowet - 1021288,Bukwo,Aryowet,1021288,Complete,In Service,2021,1.390363,34.700049,1666,
Uganda - Nyakabugha-Bikone - 1014457,Kasese,Nyakabugha-Bikone,1014457,Identified,Identified in Needs Assessment,2019,0.341503,30.052577,19265,
Uganda - Nyambuku-Kyanya - 1036865,Kasese,Nyambuku-Kyanya,1036865,Identified,Identified in Needs Assessment,2021,0.333542,30.084256,0,
Uganda - Kikoga-Nyakakindo - 1036866,Kasese,Kikoga-Nyakakindo,1036866,Identified,Identified in Needs Assessment,2021,0.251201,30.198658,0,
Uganda - Kahondo-Kitangira - 1025798,Kabarole,Kahondo-Kitangira,1025798,Rejected,Technical,2021,0.706855,30.220562,0,
Uganda - Kaburakucumba - 1025805,Kabarole,Kaburakucumba,1025805,Identified,Identified in Needs Assessment,2021,0.454251,30.312693,0,
Uganda - Kisenyi- kyangabukama - 1044562,Kyenjojo,Kisenyi- kyangabukama,1044562,Identified,Identified in Needs Assessment,2024,0.798422,30.58818,350,
Uganda - Nyamiyaga-Kanyandahi - 1044564,Kyenjojo,Nyamiyaga-Kanyandahi,1044564,Identified,Identified in Needs Assessment,2024,0.538058,30.660614,21500,
Uganda - Karuruma - 1044554,Kyenjojo,Karuruma,1044554,Rejected,Technical,2024,0.396664,30.649165,0,
Uganda - Kyasaagi-Mabale - 1044558,Kyenjojo,Kyasaagi-Mabale,1044558,Identified,Identified in Needs Assessment,2024,0.696083,30.465678,610,
Uganda - Kyetegyeka- Kajumbura - 1021783,Ibanda,Kyetegyeka- Kajumbura,1021783,Identified,Identified in Needs Assessment,2020,-0.176814,30.530784,15200,
Uganda - Ndoragi 1- Nyamirima lower - 1021784,Ibanda,Ndoragi 1- Nyamirima lower,1021784,Complete,In Service,2022,-0.1880372,30.5292606,13100,
Uganda - Nyinendugu - 1021782,Ibanda,Nyinendugu,1021782,Identified,Identified in Needs Assessment,2020,-0.14743,30.498804,14400,
Uganda - Kifurugutu- Butebe - 1044653,Kabale,Kifurugutu- Butebe,1044653,Identified,Identified in Needs Assessment,2024,-1.359362,29.899284,2700,
Uganda - Kapcheropta - 1011115,Kween,Kapcheropta,1011115,Identified,Identified in Needs Assessment,2017,1.403085,34.512145,2400,6460
Uganda - Chepyakaniet - 1011119,Kween,Chepyakaniet,1011119,Identified,Identified in Needs Assessment,2017,1.418745,34.559869,920,6388
Uganda - Kaptare - 1011124,Kween,Kaptare,1011124,Identified,Identified in Needs Assessment,2017,1.422577,34.5918,6000,7799
Uganda - Kureny - 1011120,Kween,Kureny,1011120,Identified,Identified in Needs Assessment,2017,1.421071,34.590966,2206,8108
Uganda - Kira - 1011114,Bukwa,Kira,1011114,Identified,Identified in Needs Assessment,2017,1.280886,34.676986,1500,5268
Uganda - Kosowon - 1011117,Kween,Kosowon,1011117,Identified,,2019,1.405069,34.527525,1900,7128
Uganda - Korya - 1011116,Kween,Korya,1011116,Complete,In Service,2021,1.410182,34.500075,1160,4853
Uganda - Cheptandan - 1011113,Bukwa,Cheptandan,1011113,Identified,Identified in Needs Assessment,2017,1.282686,34.689458,3000,7033
Uganda - Moyok - 1011122,Kween,Moyok,1011122,Identified,Identified in Needs Assessment,2017,1.41137,34.6265,2900,5665
Uganda - Bugema - 1011123,Kween,Bugema,1011123,Identified,Identified in Needs Assessment,2017,1.407526,34.595461,3500,8257
Uganda - Kisamutongole-kikokwa - 1044557,Kyenjojo,Kisamutongole-kikokwa,1044557,Identified,Identified in Needs Assessment,2024,0.652686,30.485228,2500,
Uganda - Kibaale-katambale - 1044559,Kyenjojo,Kibaale-katambale,1044559,Identified,Identified in Needs Assessment,2024,0.834645,30.540668,3350,
Uganda - Kanena- kijebere - 1044560,Kyenjojo,Kanena- kijebere,1044560,Identified,Identified in Needs Assessment,2024,0.779446,30.764551,2505,
Uganda - Muchwamba - 1044556,Kyenjojo,Muchwamba,1044556,Rejected,Technical,2024,0.656734,30.454709,8,
Uganda - Kisamutongole- enyanja etagera - 1044563,Kyenjojo,Kisamutongole- enyanja etagera,1044563,Identified,Identified in Needs Assessment,2024,0.662973,30.470145,270,
- Katumba - 1037595,Buliisa,Katumba,1037595,Identified,,2021,1.762106,31.437281,,
Uganda - Kwerebera-kakindo 2 bridge - 1022227,Ibanda,Kwerebera-kakindo 2 bridge,1022227,Identified,Identified in Needs Assessment,2020,-0.115367,30.283261,8500,
Uganda - Kibenze-Nyabwina - 1026009,Kasese,Kibenze-Nyabwina,1026009,Identified,Identified in Needs Assessment,2021,0.40786,30.183009,0,
Uganda - Kasambya - 1026006,Kasese,Kasambya,1026006,Identified,Identified in Needs Assessment,2021,0.38009,30.12006,0,
Uganda - Banyal - 1011118,Kween,Banyal,1011118,Complete,In Service,2020,1.423756,34.549231,1489,5195
Uganda - Kahama-Ndaragi - 1041111,Rukungiri,Kahama-Ndaragi,1041111,Complete,,2023,-0.94088,29.868137,2850,
Uganda - Bumate-Bugombwa - 1013814,Bundibugyo,Bumate-Bugombwa,1013814,Identified,Identified in Needs Assessment,2019,0.688192,30.066011,1140,
Uganda - Buyaya I - 1012970,Bundibugyo,Buyaya I,1012970,Rejected,Technical,2017,0.750878,30.111937,,
Uganda - Shikholo - 1011850,Bududa,Shikholo,1011850,Rejected,Technical,2017,1.072313,34.383775,,13885
Uganda - Waaki west-lokowaki - 1038790,Buliisa,Waaki west-lokowaki,1038790,Complete,In Service,2023,1.725489,31.378287,2900,
Uganda - Manafwa - 1012298,Bududa,Manafwa,1012298,Identified,Identified in Needs Assessment,2017,1.014449,34.372193,1040,19669
Uganda - Kapsabuko - 1011595,Kapchorwa,Kapsabuko,1011595,Identified,Identified in Needs Assessment,2017,1.3669172,34.3483679,350,3409
Uganda - Namaili - 1011806,Bududa,Namaili,1011806,Identified,Identified in Needs Assessment,2017,1.052837,34.388716,3500,20245
Uganda - Bubiita-Lunza - 1012294,Bududa,Bubiita-Lunza,1012294,Rejected,Technical,2017,1.000727,34.362663,11900,20303
Uganda - Namomolo - 1012052,Bududa,Namomolo,1012052,Identified,Identified in Needs Assessment,2017,1.034709,34.330458,1600,17925
Uganda - Mbigi - 1011582,Bulambuli,Mbigi,1011582,Rejected,Vehicular Bridge Required,2020,1.314375,34.312385,2700,8074
Uganda - Kibiisi - 1012051,Bududa,Kibiisi,1012051,Identified,Identified in Needs Assessment,2017,1.059712,34.350364,1430,25216
Uganda - Kisana-bubisi - 1038886,Kyegegwa,Kisana-bubisi,1038886,Identified,Identified in Needs Assessment,2023,0.608696,31.113404,2330,
Uganda - Makwola-Busu - 1012684,Bundibugyo,Makwola-Busu,1012684,Rejected,Technical,2017,0.677802,29.982817,,10873
Uganda - Bundiwerume - 1012961,Bundibugyo,Bundiwerume,1012961,Identified,Identified in Needs Assessment,2017,0.726095,30.066533,2063,
Uganda - Resort - 1011583,Bulambuli,Resort,1011583,Identified,Identified in Needs Assessment,2017,1.278543,34.318153,7900,5589
Uganda - Rwanda - 1015528,Bukwo,Rwanda,1015528,Complete,In Service,2019,1.283832,34.726981,1742,
Uganda - Ngenge - 1018566,Kween,Ngenge,1018566,Identified,Identified in Needs Assessment,2020,1.358779,34.521656,1302,
Uganda - Maliba 1 - Kakindo - 1025982,Kasese,Maliba 1 - Kakindo,1025982,Identified,Identified in Needs Assessment,2021,0.32044,30.099706,0,
Uganda - Kigaramire - 1014460,Kasese,Kigaramire,1014460,Identified,Identified in Needs Assessment,2019,0.266854,30.109818,16200,
Uganda - Nyamiranga - 1037610,Hoima,Nyamiranga,1037610,Identified,,2021,1.646585,31.331162,0,
- Kitagasa - 1037607,Hoima,Kitagasa,1037607,Identified,,2021,1.353684,31.224303,,
Uganda - Kayanja 3 - 1039078,Ntoroko,Kayanja 3,1039078,Identified,Identified in Needs Assessment,2023,0.924297,30.176304,1962,
Uganda - Katanda 1- kakindo C - 1022223,Rubirizi,Katanda 1- kakindo C,1022223,Identified,Identified in Needs Assessment,2020,-0.227783,30.174238,5858,
Uganda - SELESTINE - 1036876,Kasese,SELESTINE,1036876,Identified,Identified in Needs Assessment,2023,0.034742,29.856901,0,
Uganda - NYAKATSE - 1036877,Kasese,NYAKATSE,1036877,Identified,Identified in Needs Assessment,2023,0.082716,29.899499,0,
Uganda - KYABIKEKURU - 1036871,Kasese,KYABIKEKURU,1036871,Identified,Identified in Needs Assessment,2023,0.115718,29.759679,0,
Uganda - LYAKIREMA 1 - 1036873,Kasese,LYAKIREMA 1,1036873,Identified,Identified in Needs Assessment,2023,0.031527,29.808948,0,
Uganda - KAMAHANGA - 1036875,Kasese,KAMAHANGA,1036875,Identified,Identified in Needs Assessment,2023,0.065165,29.873469,0,
Uganda - Kisungwa - 1036861,Kasese,Kisungwa,1036861,Identified,Identified in Needs Assessment,2021,0.360185,30.063894,0,
Uganda - Nganda- Bubwe - 1038749,Buliisa,Nganda- Bubwe,1038749,Complete,,2023,1.777943,31.4328,3254,
Uganda - Kapkwomboloi - 1011592,Kapchorwa,Kapkwomboloi,1011592,Complete,In Service,2019,1.3947033,34.3742902,693,1602
Uganda - Rwobuhungye -Mirambi - 1023079,Ibanda,Rwobuhungye -Mirambi,1023079,Identified,Identified in Needs Assessment,2021,-0.21521,30.454859,5722,
Uganda - Bururuma - 1023080,Ibanda,Bururuma,1023080,Identified,Identified in Needs Assessment,2021,0.033434,30.599913,7882,
Uganda - Karangara-Rwemerire - 1023082,Ibanda,Karangara-Rwemerire,1023082,Identified,Identified in Needs Assessment,2021,-0.059566,30.525787,4223,
Uganda - Mogondo-Kakuuto 3 - 1023085,Ibanda,Mogondo-Kakuuto 3,1023085,Identified,Identified in Needs Assessment,2021,-0.031115,30.570408,0,
Uganda - Rugarama 1 - 1023074,Ibanda,Rugarama 1,1023074,Identified,Identified in Needs Assessment,2021,-0.287358,30.437223,0,
Uganda - Rujumbura-Kayanja - 1023075,Ibanda,Rujumbura-Kayanja,1023075,Identified,Identified in Needs Assessment,2021,-0.249153,30.498536,2431,
Uganda - Rwatibale-Kashangura - 1023087,Ibanda,Rwatibale-Kashangura,1023087,Identified,Identified in Needs Assessment,2021,-0.040117,30.451417,0,
Uganda - Buwashi Lower - 1012299,Bududa,Buwashi Lower,1012299,Identified,Identified in Needs Assessment,2017,1.007974,34.371642,2050,18662
- Mpigiza - 1037606,Hoima,Mpigiza,1037606,Identified,,2021,1.327931,31.400082,,
- Kacungiro - 1037596,Hoima,Kacungiro,1037596,Identified,,2021,,,,
- Kibambura - 1037591,Buliisa,Kibambura,1037591,Identified,,2021,2.124192,31.436144,,
- Kyambara - 1037635,Hoima,Kyambara,1037635,Identified,,2021,,,,
Uganda - Kapchesombe - 1008713,Kapchorwa,Kapchesombe,1008713,Identified,Identified in Needs Assessment,2017,1.335333,34.3862343,,13078
Uganda - Bukesa - 1008714,Kapchorwa,Bukesa,1008714,Identified,Identified in Needs Assessment,2017,1.3125645,34.3942527,500,7837
Uganda - Sabiny Chebeser - 1008715,Kapchorwa,Sabiny Chebeser,1008715,Identified,Identified in Needs Assessment,2017,1.3427421,34.3957163,,9550
Uganda - Kwomo - 1008716,Kapchorwa,Kwomo,1008716,Identified,Identified in Needs Assessment,2017,1.3664325,34.4041691,,5442
Uganda - Chemosong - 1008717,Kapchorwa,Chemosong,1008717,Identified,Identified in Needs Assessment,2017,1.3922682,34.3852152,,2834
Uganda - Bukisasati - 1008718,Namisindwa,Bukisasati,1008718,Identified,Identified in Needs Assessment,2017,0.84923,34.387787,3500,14507
Uganda - Bukhisoni - 1008719,Namisindwa,Bukhisoni,1008719,Identified,Identified in Needs Assessment,2017,0.88088,34.39049,4000,17558
Uganda - Namikhana - 1008720,Namisindwa,Namikhana,1008720,Identified,Identified in Needs Assessment,2017,0.84634,34.384735,,13842
Uganda - Tingu - 1008721,Namisindwa,Tingu,1008721,Identified,Identified in Needs Assessment,2017,0.8743283,34.398895,,17930
Uganda - Bukhaleke - 1008722,Manafwa,Bukhaleke,1008722,Identified,Identified in Needs Assessment,2017,0.85037,34.381465,1500,14693
Uganda - Kisilwa - 1008723,Manafwa,Kisilwa,1008723,Identified,Identified in Needs Assessment,2017,0.8612017,34.4225626,,12102
Uganda - Buwatsala - 1008724,Namisindwa,Buwatsala,1008724,Identified,Identified in Needs Assessment,2017,0.885873,34.39583,,14812
Uganda - Khanyunyi - 1008726,Mbale,Khanyunyi,1008726,Identified,Identified in Needs Assessment,2018,1.047237,34.229627,,16158
Uganda - Gibuzale - 1008728,Bulambuli,Gibuzale,1008728,Identified,Identified in Needs Assessment,2018,1.283067,34.390517,,10731
Uganda - Belegali - 1008730,Mbale,Belegali,1008730,Identified,Identified in Needs Assessment,2018,1.068767,34.22943,1000,14123
Uganda - Busirima - 1008731,Sironko,Busirima,1008731,Identified,Identified in Needs Assessment,2018,1.13205,34.33905,3000,11330
Uganda - Muyembe - 1008732,Sironko,Muyembe,1008732,Identified,Identified in Needs Assessment,2018,1.151083,34.3333,,10197
Uganda - Sonoli - 1008733,Sironko,Sonoli,1008733,Identified,Identified in Needs Assessment,2012,1.171083,34.30702,,10546
Uganda - Kibembe - 1008734,Sironko,Kibembe,1008734,Complete,In Service,2019,1.2043,34.28912,1791,8503
Uganda - Sililwa - 1008735,Namisindwa,Sililwa,1008735,Identified,Identified in Needs Assessment,2020,0.856349,34.4201456,1769,11400
Uganda - Bunamulingi - 1008736,Namisindwa,Bunamulingi,1008736,Identified,Identified in Needs Assessment,2018,0.888166,34.4204057,500,9805
Uganda - Kadebede - 1008737,Mbale,Kadebede,1008737,Identified,Identified in Needs Assessment,2018,1.154733,34.184383,,11862
Uganda - Kapkwai - 1008786,Kapchorwa,Kapkwai,1008786,Identified,Identified in Needs Assessment,2017,1.3544149,34.4150586,1000,3376
Uganda - Masagala - 1008788,Sironko,Masagala,1008788,Identified,Identified in Needs Assessment,2017,1.0964,34.2191,,15899
Uganda - Namunapa - 1008789,Namisindwa,Namunapa,1008789,Identified,Identified in Needs Assessment,2017,0.9334,34.30785,,11374
Uganda - Bulako - 1008791,Namisindwa,Bulako,1008791,Identified,Identified in Needs Assessment,2017,0.8719014,34.3194187,500,10122
Uganda - Siyantsa - 1008792,Namisindwa,Siyantsa,1008792,Identified,Identified in Needs Assessment,2017,0.9198909,34.3204144,,13548
Uganda - Sisiyi - 1008766,Bulambuli,Sisiyi,1008766,Identified,Identified in Needs Assessment,2018,1.2567,34.39007,,6319
Uganda - Nakazuku - 1008768,Bulambuli,Nakazuku,1008768,Identified,Identified in Needs Assessment,2017,1.2449,34.3588,,14061
Uganda - Nalumba - 1008769,Bulambuli,Nalumba,1008769,Identified,Identified in Needs Assessment,2017,1.28925,35.355083,,0
Uganda - Namisuni - Gamogo - 1008770,Bulambuli,Namisuni - Gamogo,1008770,Identified,Identified in Needs Assessment,2017,1.2985,34.363083,,11669
Uganda - Namdongo - 1008771,Bulambuli,Namdongo,1008771,Identified,Identified in Needs Assessment,2017,1.294633,34.37535,300,11951
Uganda - Bubwabala - 1008772,Bulambuli,Bubwabala,1008772,Identified,Identified in Needs Assessment,2018,1.38565,34.300517,750,2710
Uganda - Bulumela - 1008773,Bulambuli,Bulumela,1008773,Identified,Identified in Needs Assessment,2018,0.44365,34.312067,100,0
Uganda - Bulako Cheputi - 1008774,Bulambuli,Bulako Cheputi,1008774,Identified,Identified in Needs Assessment,2018,1.39775,34.35115,700,1301
Uganda - Nangoma - 1008775,Bududa,Nangoma,1008775,Identified,Identified in Needs Assessment,2017,0.9812,34.282617,,10407
Uganda - Namakhokolo - 1008776,Bududa,Namakhokolo,1008776,Complete,In Service,2018,0.978583,34.280483,4000,10114
Uganda - Bumakika - 1008777,Bududa,Bumakika,1008777,Identified,Identified in Needs Assessment,2018,1.001833,34.303088,150,15541
Uganda - Bukhayiyi - 1008778,Bududa,Bukhayiyi,1008778,Identified,Identified in Needs Assessment,2018,1.005285,34.307622,1800,16058
Uganda - Bubikhulu - 1008779,Bududa,Bubikhulu,1008779,Identified,Identified in Needs Assessment,2018,1.008497,34.307297,1500,16008
Uganda - Namawukulu - 1008780,Bududa,Namawukulu,1008780,Complete,In Service,2018,1.004485,34.4016731,1300,11363
Uganda - Matiri - 1008781,Bududa,Matiri,1008781,Identified,Identified in Needs Assessment,2017,1.01281,34.304267,,15694
Uganda - Bumalende - 1008782,Bududa,Bumalende,1008782,Identified,Identified in Needs Assessment,2018,1.01538,34.301837,5000,14991
Uganda - Bunamwamba - 1008783,Bududa,Bunamwamba,1008783,Identified,Identified in Needs Assessment,2018,0.984685,34.304173,2000,13705
Uganda - Nametsi - 1008784,Bududa,Nametsi,1008784,Identified,Identified in Needs Assessment,2017,1.036177,34.421605,,7158
Uganda - Butsebangwe - 1008785,Bududa,Butsebangwe,1008785,Identified,Identified in Needs Assessment,2018,1.004555,34.403775,500,11112
Uganda - Bumula - 1008741,Namisindwa,Bumula,1008741,Identified,Identified in Needs Assessment,2018,0.89265,34.332517,2000,12627
Uganda - Wekobosa - 1008742,Namisindwa,Wekobosa,1008742,Identified,Identified in Needs Assessment,2020,0.90965,34.319567,3301,11842
Uganda - Namisuni - 1008743,Namisindwa,Namisuni,1008743,Identified,Identified in Needs Assessment,2017,0.859017,34.378723,,16359
Uganda - Namwenula - 1008744,Namisindwa,Namwenula,1008744,Identified,Identified in Needs Assessment,2017,0.8605383,34.3870217,,16556
Uganda - Lwanda - 1008745,Namisindwa,Lwanda,1008745,Identified,Identified in Needs Assessment,2017,0.86696,34.38754,,17797
Uganda - Kisekere - 1008746,Namisindwa,Kisekere,1008746,Identified,Identified in Needs Assessment,2018,0.87172,34.385675,,18285
Uganda - Khasula - 1008747,Namisindwa,Khasula,1008747,Identified,Identified in Needs Assessment,2018,0.87643,34.381873,,18386
Uganda - Mufutu - 1008748,Namisindwa,Mufutu,1008748,Identified,Identified in Needs Assessment,2018,0.87336,34.375845,,18026
Uganda - Natsekhe - 1008749,Namisindwa,Natsekhe,1008749,Identified,Identified in Needs Assessment,2017,0.89112,34.3839417,,13890
Uganda - Sibumba - 1008750,Namisindwa,Sibumba,1008750,Identified,Identified in Needs Assessment,2017,0.8865783,34.3701883,,17110
Uganda - Buwambwa Nambwa - 1008751,Namisindwa,Buwambwa Nambwa,1008751,Identified,Identified in Needs Assessment,2018,0.8827583,34.3703517,2200,17446
Uganda - Bukituma - 1008752,Namisindwa,Bukituma,1008752,Identified,Identified in Needs Assessment,2018,0.876361,34.401335,9000,17496
Uganda - Bunamajye - 1008753,Mbale,Bunamajye,1008753,Identified,Identified in Needs Assessment,2018,1.106367,34.2491,15000,21066
Uganda - Cheoli - 1008754,Namisindwa,Cheoli,1008754,Identified,Identified in Needs Assessment,2018,1.078933,34.16706,,70719
Uganda - Sango Nekina - 1008755,Manafwa,Sango Nekina,1008755,Identified,Identified in Needs Assessment,2017,0.8496,34.240133,,7924
Uganda - Bukalamya - 1008756,Manafwa,Bukalamya,1008756,Identified,Identified in Needs Assessment,2018,0.79476,34.277295,1500,4515
Uganda - Matunga - 1008757,Manafwa,Matunga,1008757,Identified,Identified in Needs Assessment,2018,0.9343,34.233617,,8026
Uganda - Bumasale - 1008758,Manafwa,Bumasale,1008758,Identified,Identified in Needs Assessment,2018,0.92475,34.2345,2000,8207
Uganda - Bunekoye - 1008759,Manafwa,Bunekoye,1008759,Identified,Identified in Needs Assessment,2018,0.811033,34.2658,1000,6399
Uganda - Buwanyeza - 1008760,Manafwa,Buwanyeza,1008760,Identified,Identified in Needs Assessment,2018,0.841833,34.301367,,9857
Uganda - Nasyanda - 1008761,Manafwa,Nasyanda,1008761,Identified,Identified in Needs Assessment,2017,0.812568,34.263817,,6430
Uganda - Tongole - 1008762,Manafwa,Tongole,1008762,Complete,In Service,2019,1.937883,34.2691,3000,0
Uganda - Bumwango - 1008763,Manafwa,Bumwango,1008763,Identified,Identified in Needs Assessment,2018,0.9423,34.294717,1500,11411
Uganda - Mungasa - 1008764,Manafwa,Mungasa,1008764,Identified,Identified in Needs Assessment,2018,0.955983,34.28955,,14376
Uganda - Bunekesa - 1008765,Manafwa,Bunekesa,1008765,Identified,Identified in Needs Assessment,2020,0.959983,34.296867,3439,12956
Uganda - Rwatibale audit 1023087 - 1023315,Ibanda,Rwatibale audit 1023087,1023315,Identified,Identified in Needs Assessment,2020,,,0,
